      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 25   00:23:24   1783      0   00:24:36   1551      0
 24   00:48:39   2662      0   01:23:41   2336      0
 23   00:55:11   2321      0   20:06:29   9059      0
 22   00:19:17   2558      0   00:45:07   1089      0
 21   02:17:04   3672      0   02:32:31   3594      0
 20   01:07:43   1613      0   06:40:30   1948      0
 19   02:26:03   3534      0   04:41:54   3354      0
 18   00:53:05   2854      0   01:06:14   2098      0
 17   00:43:36   1869      0   00:58:42   2085      0
 16   00:35:52   4142      0   01:31:01   3266      0
 15   00:43:18   4661      0   02:48:32   7821      0
 14   00:37:15   3494      0   02:16:50   5137      0
 13   00:11:28   2228      0   02:48:46   4217      0
 12   00:42:41   5384      0   00:55:10   3592      0
 11   00:48:39   4211      0   01:14:20   3709      0
 10   00:09:29   2045      0   01:08:14   3729      0
  9   00:19:47   5061      0   00:32:18   4456      0
  8   00:12:50   3298      0   00:51:13   5568      0
  7   02:20:50   9735      0   12:14:42  24548      0
  6   00:17:06   6034      0   00:56:11   8142      0
  5   00:21:28   3910      0   00:54:47   6672      0
  4   01:15:24  10330      0   01:54:29   8094      0
  3   00:15:47   3900      0   00:22:26   3515      0
  2   00:29:45   5665      0   00:36:14   5162      0
  1   00:12:13   2247      0   00:14:38   2045      0
